Name,Year,Venue,Cls1,Cls2,Platform1,Download_Link1,Platform2,Download_Link2,Needs_Application,Comments,Error,ModelScope_Mirror,GitHub_Repo,GitHub_Stars
SegEarth-R1,2025,arXiv,Reasoning Models,Supervised Reasoning,HuggingFace,https://huggingface.co/earth-insights/SegEarth-R1-EarthReason,ModelScope,https://modelscope.cn/models/earth-insights/SegEarth-R1-EarthReason,No,"Paper: https://arxiv.org/abs/2504.09644. Introduces the remote-sensing pixel-reasoning task and an LLM-guided model that parses implicit instructions, reasons over spatial context, and outputs target-region masks; releases the EarthReason dataset (5,434 annotated image masks, 30k+ implicit QA pairs). Code, dataset and checkpoints are released; checkpoints on HuggingFace org earth-insights (SegEarth-R1-EarthReason and SegEarth-R1-RRSIS-D variants), dataset at https://huggingface.co/datasets/earth-insights/EarthReason. A second checkpoint (SegEarth-R1-RRSIS-D) is mirrored at modelscope.cn/models/earth-insights/SegEarth-R1-RRSIS-D.",,https://modelscope.cn/models/earth-insights/SegEarth-R1-EarthReason,https://github.com/earth-insights/SegEarth-R1,156
SegEarth-R2,2025,arXiv,Reasoning Models,Supervised Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2512.20013. Targets pixel-level grounding of detailed text in remote-sensing imagery; introduces the LaSeRS benchmark for complex-instruction segmentation and SegEarth-R2 with spatial attention supervision and a flexible segmentation query mechanism. Code released 2026-05-24 and LaSeRS dataset on HuggingFace (https://huggingface.co/datasets/earth-insights/LaSeRS); code only, no public weights as of 2026-08.",,No,https://github.com/earth-insights/SegEarth-R2,68
Delta-LLaVA,2026,arXiv,Reasoning Models,Supervised Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2604.14044. Addresses 'temporal blindness' of MLLMs in remote-sensing change understanding; introduces the Delta-QA dataset (180k visual QA samples) and Delta-LLaVA with Change-Enhanced Attention, Change-SEG, Change Prior Embedding and Local Causal Attention. Paper states code and dataset 'will be open-sourced' but no official repo, weights, or dataset page found as of 2026-08 (github.com/mzamini92/Delta-LLaVA is an unrelated different paper, not this work).",code/weights not yet released as of 2026-08,No,No,
EarthVL,2026,arXiv,Reasoning Models,Supervised Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2601.02783. Proposes EarthVL, a progressive staged framework for Earth vision-language understanding/generation (EarthVLNet) that couples land-cover semantics with object-aware relational reasoning, together with the EarthVLSet benchmark (10.9k high-resolution images, 761.5k QA/caption text pairs). Companion dataset EarthVLSet is released on HuggingFace (https://huggingface.co/datasets/Kingdrone-Junjue/EarthVLSet), but the official repo (https://github.com/Junjue-Wang/EarthVL) is a placeholder ('We are preparing the code and data') and no model weights are public as of 2026-08.",code/weights not yet released as of 2026-08,No,https://github.com/Junjue-Wang/EarthVL,43
GeoChrono,2026,arXiv,Reasoning Models,Supervised Reasoning,HuggingFace,https://huggingface.co/Davidup1/GeoChrono,ModelScope,https://modelscope.cn/models/Davidup1/GeoChrono,No,"Paper: https://arxiv.org/abs/2607.15768. Introduces a benchmark for long-term temporal understanding in remote sensing (change tracking, historical memory, spatio-temporal reasoning) and GeoChrono with specialized temporal modeling and token compression, supported by an instruction-tuning dataset. Weights on HuggingFace and ModelScope; ChronoBench/ChronoInstruct data released as GeoChrono-Data on both platforms (https://huggingface.co/datasets/Davidup1/GeoChrono-Data); benchmark images sourced from DVL-Suite.",,https://modelscope.cn/models/Davidup1/GeoChrono,https://github.com/IntelliSensing/GeoChrono,9
TerraScope,2026,CVPR,Reasoning Models,Supervised Reasoning,HuggingFace,https://huggingface.co/sy1998/TerraScope,ModelScope,https://modelscope.cn/models/shuyanshuyan/terrascope,No,"Paper: https://arxiv.org/abs/2603.19039. Presents a unified pixel-grounded vision-language framework for Earth observation that grounds answers in masks, handles optical/SAR inputs separately or jointly, and analyzes temporal changes; releases Terra-CoT (1M samples) and TerraScope-Bench. Model weights at https://huggingface.co/sy1998/TerraScope; datasets TerraScope-Bench and TerraCoT on HuggingFace (sy1998); code in the TerraScope folder of the Earth-Observation-VLMs repo. Published at CVPR 2026 (batch venue 'arXiv' corrected); project page https://shuyansy.github.io/terrascope/.",,https://modelscope.cn/models/shuyanshuyan/terrascope,https://github.com/shuyansy/Earth-Observation-VLMs,138
Geo-R1,2025,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/Geo-R1,,,No,"Paper: https://arxiv.org/abs/2509.21976. Proposes reasoning-centric reinforcement fine-tuning for few-shot geospatial referring expression understanding (FS-REC, FS-GRES, FS-OVD), where the model first generates explicit reasoning then localizes objects, improving generalization and cross-dataset robustness over SFT baselines. Multiple checkpoints released on HuggingFace org Geo-R1 (Geo-R1-3B/7B-GRPO variants for REC/GRES/OVD at 1/5/10 shots); code and processed datasets in repo.",,No,https://github.com/Geo-R1/geo-r1,16
GeoVLM-R1,2025,arXiv,Reasoning Models,RL-Driven Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2509.25026. Proposes reinforcement fine-tuning with Earth-observation-tailored rewards to improve remote-sensing reasoning, reporting gains over general and domain-specific VLMs. Project page: https://mustansarfiaz.github.io/GeoVLM-R1/. Official toolkit repo (https://github.com/mustansarfiaz/GeoVLM-R1-Toolkit) is a placeholder (README/setup only; training and finetuning code 'coming soon') and no weights found on HuggingFace as of 2026-08.",code/weights not yet released as of 2026-08,No,https://github.com/mustansarfiaz/GeoVLM-R1-Toolkit,32
GeoZero,2025,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/hjvsl/GeoZero,Baidu NetDisk,https://pan.baidu.com/s/1nJjBwO4UlVv4GFl60gjM3w?pwd=15gn,No,"Paper: https://arxiv.org/abs/2511.22645. Proposes GeoZero, an MLLM for geospatial reasoning without any predefined CoT supervision, using GeoZero-Instruct for warm-up SFT, GeoZero-Hard to encourage harder reasoning during RL, and Answer-Anchored GRPO (A2GRPO) to keep diverse outputs accurate. Weights on HuggingFace (hjvsl/GeoZero, e.g. GeoZero-8B-without-RFT) with Baidu NetDisk mirror; training/eval datasets released as hjvsl/GeoZero_Train_Datasets and hjvsl/GeoZero_Eval_Datasets on HuggingFace.",,No,https://github.com/MiliLab/GeoZero,26
RemoteReasoner,2025,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/1e12Leon/RemoteReasoner,ModelScope,https://modelscope.cn/models/AIMGroup/RemoteReasoner,No,"Paper: https://arxiv.org/abs/2507.19280 (accepted at AAAI 2026). Unifying geospatial reasoning workflow: an MLLM trained with reinforcement learning understands prompts and locates targets, transforming outputs to object-, region-, and pixel-level tasks without specialized decoders or tuning, with SOTA results and robustness on unseen tasks/OOD categories. Weights (Qwen2.5-VL-based) on HuggingFace (1e12Leon/RemoteReasoner, open access); training uses the EarthReason dataset (earth-insights/EarthReason). A duplicate author upload exists at modelscope.cn/models/ShengxiangXu/RemoteReasoner.",,https://modelscope.cn/models/AIMGroup/RemoteReasoner,https://github.com/1e12Leon/RemoteReasoner,17
TinyRS-R1,2025,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/aybora/Qwen2-VL-TinyRS-R1,,,No,"Paper: https://arxiv.org/abs/2505.12099. Presents TinyRS and its reasoning-enhanced version TinyRS-R1, compact (~2B, Qwen2-VL-2B-based) remote-sensing multimodal models built via satellite-image pretraining, visual instruction tuning, reasoning-based fine-tuning and GRPO alignment, matching or beating larger 7B RS models with lower memory/latency. Weights on HuggingFace (aybora/Qwen2-VL-TinyRS-R1; also Qwen2-VL-TinyRS, -CoT, -PRETRAIN variants); code, models and dataset captions released.",,No,https://github.com/aybora/TinyRS,13
Geo-R,2026,arXiv,Reasoning Models,RL-Driven Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2601.00388 (accepted at AAAI 2026 per repo README). Geo-R: retrieval-free vision-language reasoning for image geolocalization using Chain of Region interpretable supervision from known coordinates and coordinate-aligned RL rewards based on Haversine distance. Code released on GitHub (aialt/geo-r); code only, no public model weights as of 2026-08 (paper states model and code 'will be made publicly available'). Note: Download_Link2 (HF The-Shy/Geo-R) hosts SFT training data (MP16-Rand-500k zip + geocoded prompt JSONs), not model weights.",,No,https://github.com/aialt/geo-r,3
GeoReason,2026,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/WenshuaiLi/GeoReason,,,No,"Paper: https://arxiv.org/abs/2601.04118. Shows RS-VLMs can give correct answers via faulty reasoning or positional shortcuts, and proposes GeoReason to align thinking and answering using GeoReason-Bench (4,000 reasoning trajectories), Supervised Knowledge Initialization and Consistency-Aware RL with a Logical Consistency Reward and option permutation strategy. Model weights at https://huggingface.co/WenshuaiLi/GeoReason (ungated, apache-2.0) and benchmark at https://huggingface.co/datasets/WenshuaiLi/GeoReason-Bench.",,No,https://github.com/canlanqianyan/GeoReason,10
GeoSolver,2026,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/minglanga/GeoSolver,,,No,"Paper: https://arxiv.org/abs/2603.09551. Scales test-time reasoning for remote sensing with fine-grained process supervision: builds the Geo-PRM-2M step-level corpus, trains the GeoPRM process reward model, and applies Process-Aware Tree-GRPO to obtain GeoSolver-9B (GLM-4V-based) with test-time scaling. Weights hosted on HuggingFace (minglanga/GeoSolver, open access); the Geo-PRM-2M dataset was not found on HuggingFace as of 2026-08.",arXiv page 'Code' link is a placeholder (https://github.com/yourname/GeoSolver); the actual official repo is https://github.com/minglangL/GeoSolver,No,https://github.com/minglangL/GeoSolver,3
GeoVista,2026,arXiv,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/ryan6073/GeoVista-7B-Instruct,HuggingFace,https://huggingface.co/ryan6073/GeoVista-7B-Preview,Yes,"Paper: https://arxiv.org/abs/2605.14475. Visually grounded active perception for ultra-high-resolution remote sensing: broad-then-local observe-plan-track workflow that inspects candidate regions and tracks discovered clues, plus a supervised reasoning corpus and reward-based training. Weights on HuggingFace (GeoVista-7B-Instruct and GeoVista-7B-Preview), both gated (auto-approve, requires agreeing to terms on HF, hence Needs_Application=Yes); companion dataset APEX-GRO (ryan6073/APEX-GRO) also gated. Project page: https://ryan6073.github.io/GeoVista/.",,No,https://github.com/ryan6073/GeoVista,10
GeoX,2026,arXiv,Reasoning Models,RL-Driven Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2605.20006 (Ahn, Lee, Gummadi, Cha). Self-play framework for geospatial reasoning: a single multimodal policy creates and answers image-grounded spatial tasks as executable programs via abduction, deduction, and induction, with a verifier providing rewards for RL; reports gains up to 5.5 points and promises a benchmark. No official code, weights, or benchmark found as of 2026-08 (note: HuggingFace 'U4R/GeoX' belongs to a different GeoX paper, arXiv 2412.11863, on geometric problem solving).",code/weights not yet released as of 2026-08,No,No,
RemoteAgent,2026,arXiv,Reasoning Models,RL-Driven Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2604.07765 (repo states accepted at IEEE TGRS 2026). RL-based agentic MLLM bridging vague human intents and Earth observation: uses the VagueEO corpus and reinforcement fine-tuning so the MLLM internally handles image- and sparse-region-level tasks while invoking specialized tools via Model Context Protocol mainly for dense predictions. Code only, no public weights as of 2026-08 (no HF model; VagueEO dataset not found on HuggingFace). ModelScope repo AIMGroup/RemoteAgent exists in search but contains no public files as of 2026-08.",,No,https://github.com/1e12Leon/RemoteAgent,20
RemoteZero,2026,arXiv,Reasoning Models,RL-Driven Reasoning,,,,,No,"Paper: https://arxiv.org/abs/2605.04451. Label-free geospatial reasoning with zero human annotations: converts proposed regions into crops, uses semantic agreement with the query as reward signal, and trains via DAPO/self-evolution RL with earlier models checking later outputs. Official code released (GitHub, includes verifier server and DAPO/SelfEvolution training scripts); code only, no public weights as of 2026-08.",,No,https://github.com/1e12Leon/RemoteZero,1
RS-EoT,2026,CVPR,Reasoning Models,RL-Driven Reasoning,HuggingFace,https://huggingface.co/ShaoRun/RS-EoT-7B,Project Website,https://geox-lab.github.io/Asking_like_Socrates/,No,"Paper: https://arxiv.org/abs/2511.22396 (CVPR 2026, Shao et al., 'Asking like Socrates: Socrates helps VLMs understand remote sensing images'). Identifies 'pseudo reasoning' and the 'Glance Effect' in remote sensing VLMs, then introduces RS-EoT and SocraticAgent with a two-stage progressive RL strategy that seeks visual evidence via Socratic questioning, improving RS question answering and grounding. Model RS-EoT-7B (Qwen2.5-VL-7B-Instruct-based) on HuggingFace (ShaoRun/RS-EoT-7B, open access); companion dataset RS-EoT-4K released as HF dataset ShaoRun/RS-EoT-4K; official repo GeoX-Lab/Asking_like_Socrates.",,No,https://github.com/GeoX-Lab/Asking_like_Socrates,26
