paradigm,method,year,institution,title,model,arxiv_id,url,task,notes,github,bibtex,submitted_v1
RSVLRM,VLM+SFT,2026,,EarthVL: A Progressive Earth Vision-Language Understanding and Generation Framework,EarthVL,2601.02783,https://arxiv.org/abs/2601.02783,Earth vision-language reasoning,,https://github.com/Junjue-Wang/EarthVL,,2026-01-06
RSVLRM,VLM+SFT,2025,Xi'an Jiaotong University,SegEarth-R1: Geospatial Pixel Reasoning via Large Language Model,SegEarth-R1,2504.09644,https://arxiv.org/abs/2504.09644,Pixel-grounded reasoning,,https://github.com/earth-insights/SegEarth-R1,,2025-04-13
RSVLRM,VLM+SFT,2025,,SegEarth-R2: Towards Comprehensive Language-guided Segmentation for Remote Sensing Images,SegEarth-R2,2512.20013,https://arxiv.org/abs/2512.20013,Language-guided segmentation reasoning,,https://github.com/earth-insights/SegEarth-R2,,2025-12-23
RSVLRM,VLM+SFT,2026,,TerraScope: Pixel-Grounded Visual Reasoning for Earth Observation,TerraScope,2603.19039,https://arxiv.org/abs/2603.19039,Multi-source pixel-grounded reasoning,,https://github.com/shuyansy/Earth-Observation-VLMs,,2026-03-19
RSVLRM,VLM+SFT,2026,,Decoding the Delta: Unifying Remote Sensing Change Detection and Understanding with Multimodal Large Language Models,Delta-LLaVA,2604.14044,https://arxiv.org/abs/2604.14044,Multi-temporal change reasoning,,,,2026-04-15
RSVLRM,VLM+SFT,2026,,GeoChrono: Benchmarking and Rethinking Long-Term Temporal Understanding in Remote Sensing,GeoChrono,2607.15768,https://arxiv.org/abs/2607.15768,Long-term temporal reasoning,,https://github.com/IntelliSensing/GeoChrono,,2026-07-17
RSVLRM,VLM+RL,2026,,GeoReason: Aligning Thinking And Answering In Remote Sensing Vision-Language Models Via Logical Consistency Reinforcement Learning,GeoReason,2601.04118,https://arxiv.org/abs/2601.04118,Logical-consistency reasoning,,https://github.com/canlanqianyan/GeoReason,,2026-01-07
RSVLRM,VLM+RL,2025,IBM Research,GeoVLM-R1: Reinforcement Fine-Tuning for Improved Remote Sensing Reasoning,GeoVLM-R1,2509.25026,https://arxiv.org/abs/2509.25026,Remote sensing reasoning,,https://github.com/mustansarfiaz/GeoVLM-R1-Toolkit,,2025-09-29
RSVLRM,VLM+RL,2025,Wuhan University,GeoZero: Incentivizing Reasoning from Scratch on Geospatial Scenes,GeoZero,2511.22645,https://arxiv.org/abs/2511.22645,Reasoning without predefined CoT,,https://github.com/MiliLab/GeoZero,,2025-11-27
RSVLRM,VLM+RL,2025,Zhejiang University,Geo-R1: Improving Few-Shot Geospatial Referring Expression Understanding with Reinforcement Fine-Tuning,Geo-R1,2509.21976,https://arxiv.org/abs/2509.21976,Few-shot geospatial referring,,https://github.com/Geo-R1/geo-r1,,2025-09-26
RSVLRM,VLM+RL,2025,Middle East Technical University,TinyRS-R1: Compact Multimodal Language Model for Remote Sensing,TinyRS-R1,2505.12099,https://arxiv.org/abs/2505.12099,Compact multimodal reasoning,,https://github.com/aybora/TinyRS,,2025-05-17
RSVLRM,VLM+RL,2025,Jilin University,Towards Faithful Reasoning in Remote Sensing: A Perceptually-Grounded GeoSpatial Chain-of-Thought for Vision-Language Models,RSThinker,2509.22221,https://arxiv.org/abs/2509.22221,Faithful grounded reasoning,,https://github.com/minglangL/RSThinker,,2025-09-26
RSVLRM,VLM+RL,2026,,GeoSolver: Scaling Test-Time Reasoning in Remote Sensing with Fine-Grained Process Supervision,GeoSolver,2603.09551,https://arxiv.org/abs/2603.09551,Process-supervised reasoning,,https://github.com/minglangL/GeoSolver,,2026-03-10
RSVLRM,VLM+RL,2025,,Asking like Socrates: Socrates helps VLMs understand remote sensing images,RS-EoT,2511.22396,https://arxiv.org/abs/2511.22396,Evidence-seeking reasoning,,https://github.com/GeoX-Lab/Asking_like_Socrates,,2025-11-27
